id;Comp. Word;Frequency;Grammatical Feature;Pronunciation;English Translation;heisig_numbers;max_heisig_numbers
4126;期日;1567;general noun;きじつ;fixed date;(1902, 12);1902
4127;区長;1567;general noun;くちょう;head of a ward;(1831, 2070);2070
4128;対案;1565;general noun;たいあん;counter-proposal;(1862, 227);1862
4129;参与;1564;light-verb -suru attached;さんよ;participation;(1856, 1335);1856
4130;主戦;1564;general noun;しゅせん;advocacy of war;(284, 2079);2079
4131;適応;1564;light-verb -suru attached;てきおう;adaptation;(473, 653);653
4132;到来;1564;light-verb -suru attached;とうらい;arrival;(817, 2029);2029
4133;民俗;1564;general noun;みんぞく;folk customs;(1976, 1042);1976
4134;水域;1563;general noun;すいいき;waters;(137, 380);380
4135;反則;1563;light-verb -suru attached;はんそく;foul play;(779, 92);779
4136;絶賛;1562;light-verb -suru attached;ぜっさん;high praise;(1891, 906);1891
4137;航行;1561;light-verb -suru attached;こうこう;cruise;(2014, 938);2014
4138;寺院;1561;general noun;じいん;temple;(170, 1401);1401
4139;西口;1561;general noun;にしぐち;west entrance;(1728, 11);1728
4140;動脈;1560;general noun;どうみゃく;artery;(1806, 2000);2000
4141;自発;1559;general noun;じはつ;spontaneous;(36, 1840);1840
4142;警鐘;1558;general noun;けいしょう;alarm bell;(358, 470);470
4143;兆候;1558;general noun;ちょうこう;sign;(250, 1769);1769
4144;老朽;1558;general noun;ろうきゅう;superannuated;(1340, 1331);1340
4145;施工;1557;light-verb -suru attached;しこう;construction;(1124, 80);1124
4146;受領;1557;light-verb -suru attached;じゅりょう;receipt;(794, 1507);1507
4147;開通;1556;light-verb -suru attached;かいつう;opening;(1750, 1511);1750
4148;就学;1556;light-verb -suru attached;しゅうがく;entering school;(2121, 346);2121
4149;山間;1555;general noun;さんかん;among the mountains;(830, 1747);1747
4150;外側;1554;general noun;そとがわ;exterior;(116, 1049);1049
4151;処置;1554;light-verb -suru attached;しょち;treatment;(318, 895);895
4152;所蔵;1554;light-verb -suru attached;しょぞう;possession;(1208, 913);1208
4153;議連;1553;general noun;ぎれん;Diet members' caucus;(692, 305);692
4154;後部;1553;general noun;こうぶ;rear;(1479, 1988);1988
4155;宣告;1553;light-verb -suru attached;せんこく;sentence;(200, 262);262
4156;凡退;1553;light-verb -suru attached;ぼんたい;out in 1-2-3 order;(66, 1575);1575
4157;今夜;1552;possible to use as an adverb;こんや;this evening;(1711, 1115);1711
4158;有数;1552;general noun;ゆうすう;prominent;(83, 998);998
4159;在留;1550;light-verb -suru attached;ざいりゅう;stay;(740, 1527);1527
4160;高砂;1549;general noun;たかさご;double-lined fusilier;(329, 122);329
4161;付着;1549;light-verb -suru attached;ふちゃく;sticking to;(1075, 594);1075
4162;公費;1548;general noun;こうひ;public expenditure;(847, 1326);1326
4163;礼拝;1548;light-verb -suru attached;れいはい;worship;(1168, 1686);1686
4164;人脈;1547;general noun;じんみゃく;personal connections;(1023, 2000);2000
4165;機長;1544;general noun;きちょう;pilot;(1482, 2070);2070
4166;人体;1544;general noun;じんたい;human body;(1023, 1030);1030
4167;断行;1543;light-verb -suru attached;だんこう;decisive action;(1218, 938);1218
4168;名所;1543;general noun;めいしょ;famous place;(117, 1208);1208
4169;物事;1542;general noun;ものごと;things;(1129, 1240);1240
4170;追随;1540;light-verb -suru attached;ついずい;follow;(1359, 1395);1395
4171;機内;1539;general noun;きない;inside a plane;(1482, 1095);1482
4172;即日;1539;possible to use as an adverb;そくじつ;same day;(1572, 12);1572
4173;寄贈;1538;light-verb -suru attached;きぞう;donation;(204, 542);542
4174;極右;1538;general noun;きょくう;extreme right;(2052, 82);2052
4175;単価;1538;general noun;たんか;unit price;(2078, 1729);2078
4176;聖戦;1537;general noun;せいせん;holy war;(888, 2079);2079
4177;全治;1537;light-verb -suru attached;ぜんち;complete recovery;(281, 807);807
4178;送球;1537;light-verb -suru attached;そうきゅう;throwing a ball;(2172, 1005);2172
4179;乳児;1537;general noun;にゅうじ;infant;(786, 62);786
4180;鶏肉;1536;general noun;けいにく;chicken meat;(2097, 1098);2097
4181;性質;1534;general noun;せいしつ;nature;(1679, 1219);1679
4182;闘病;1534;light-verb -suru attached;とうびょう;fighting against an illness;(1757, 1813);1813
4183;園児;1532;general noun;えんじ;kindergarten pupil;(629, 62);629
4184;雑貨;1532;general noun;ざっか;miscellaneous goods;(604, 1085);1085
4185;組閣;1532;light-verb -suru attached;そかく;formation of a cabinet;(1914, 1752);1914
4186;体外;1531;general noun;たいがい;ectogenesis;(1030, 116);1030
4187;明暗;1531;general noun;めいあん;light and darkness;(20, 519);519
4188;公算;1530;general noun;こうさん;probability;(847, 1017);1017
4189;航海;1529;light-verb -suru attached;こうかい;sail;(2014, 500);2014
4190;地味;1528;adjectival noun, na-adjective;じみ;plain;(554, 233);554
4191;遂行;1527;light-verb -suru attached;すいこう;accomplishment;(579, 938);938
4192;民法;1525;general noun;みんぽう;civil law;(1976, 813);1976
4193;踏襲;1524;light-verb -suru attached;とうしゅう;following;(1381, 2181);2181
4194;受諾;1523;light-verb -suru attached;じゅだく;acceptance;(794, 375);794
4195;居間;1522;general noun;いま;living room;(1143, 1747);1747
4196;殿堂;1522;general noun;でんどう;palace;(1945, 861);1945
4197;山積;1521;light-verb -suru attached;さんせき;lying in piles;(830, 1663);1663
4198;最少;1520;general noun;さいしょう;fewest;(884, 111);884
4199;組長;1519;general noun;くみちょう;boss;(1914, 2070);2070
4200;辞表;1518;general noun;じひょう;letter of resignation;(1613, 1666);1666
4201;特派;1518;light-verb -suru attached;とくは;send specially;(261, 1999);1999
4202;過激;1517;adjectival noun, na-adjective;かげき;extreme;(1389, 536);1389
4203;空席;1517;general noun;くうせき;vacancy;(1414, 1277);1414
4204;利率;1516;general noun;りりつ;interest rate;(972, 1874);1874
4205;自律;1515;light-verb -suru attached;じりつ;autonomy;(36, 939);939
4206;撲滅;1515;light-verb -suru attached;ぼくめつ;extermination;(1932, 390);1932
4207;外観;1514;general noun;がいかん;appearance;(116, 614);614
4208;規範;1513;general noun;きはん;model;(904, 1516);1516
4209;昆虫;1513;general noun;こんちゅう;insect;(483, 556);556
4210;貯蔵;1512;light-verb -suru attached;ちょぞう;storage;(206, 913);913
4211;暴露;1512;light-verb -suru attached;ばくろ;disclosure;(1941, 1377);1941
4212;未知;1512;general noun;みち;not yet known;(229, 1308);1308
4213;類似;1512;light-verb -suru attached;るいじ;resemblance;(1000, 1106);1106
4214;客室;1509;general noun;きゃくしつ;guest room;(315, 816);816
4215;作文;1509;light-verb -suru attached;さくぶん;writing;(1224, 1861);1861
4216;名物;1509;general noun;めいぶつ;famous product;(117, 1129);1129
4217;浄化;1508;light-verb -suru attached;じょうか;purification;(1239, 1083);1239
4218;広大;1506;adjectival noun, na-adjective;こうだい;huge;(799, 112);799
4219;闘志;1506;general noun;とうし;fighting spirit;(1757, 645);1757
4220;特色;1506;general noun;とくしょく;characteristic;(261, 1890);1890
4221;用地;1506;general noun;ようち;site;(1265, 554);1265
4222;救命;1505;light-verb -suru attached;きゅうめい;lifesaving;(1006, 1502);1502
4223;興国;1505;general noun;こうこく;making a country prosperous;(1533, 624);1533
4224;阻害;1505;light-verb -suru attached;そがい;obstruction;(1919, 1671);1919
4225;恐竜;1503;general noun;きょうりゅう;dinosaur;(660, 575);660
4226;郷土;1503;general noun;きょうど;native place;(1993, 161);1993
4227;手首;1503;general noun;てくび;wrist;(687, 74);687
4228;横行;1502;light-verb -suru attached;おうこう;walking sideways;(1888, 938);1888
4229;建国;1502;light-verb -suru attached;けんこく;founding of a nation;(417, 624);624
4230;集積;1501;light-verb -suru attached;しゅうせき;accumulation;(601, 1663);1663
4231;風速;1500;general noun;ふうそく;wind speed;(563, 1799);1799
4232;送料;1499;general noun;そうりょう;postage;(2172, 1262);2172
4233;猛攻;1499;light-verb -suru attached;もうこう;fierce attack;(1566, 352);1566
4234;造船;1498;light-verb -suru attached;ぞうせん;shipbuilding;(299, 2019);2019
4235;配給;1498;light-verb -suru attached;はいきゅう;distribution;(1544, 1449);1544
4236;力説;1498;light-verb -suru attached;りきせつ;insistence;(922, 538);922
4237;緩急;1497;general noun;かんきゅう;pace;(2102, 1229);2102
4238;事案;1496;general noun;じあん;concern;(1240, 227);1240
4239;農政;1495;general noun;のうせい;agricultural administration;(2170, 407);2170
4240;痴漢;1494;general noun;ちかん;masher;(1814, 1701);1814
4241;署長;1493;general noun;しょちょう;chief;(1349, 2070);2070
4242;紅葉;1492;light-verb -suru attached;こうよう;autumn colours;(1455, 243);1455
4243;食用;1492;general noun;しょくよう;for use as food;(1582, 1265);1582
4244;堅守;1491;light-verb -suru attached;けんしゅ;strong defense;(917, 198);917
4245;年率;1491;general noun;ねんりつ;annual rate;(1114, 1874);1874
4246;強姦;1490;light-verb -suru attached;ごうかん;rape;(1321, 9999);9999
4247;過大;1487;adjectival noun, na-adjective;かだい;excessive;(1389, 112);1389
4248;全集;1487;general noun;ぜんしゅう;complete works;(281, 601);601
4249;敵失;1487;general noun;てきしつ;error made by the enemy or opposing team;(475, 908);908
4250;増幅;1486;light-verb -suru attached;ぞうふく;amplification;(541, 435);541
4251;強固;1485;adjectival noun, na-adjective;きょうこ;firmness;(1321, 622);1321
4252;利権;1483;general noun;りけん;interest;(972, 613);972
4253;満載;1482;light-verb -suru attached;まんさい;fully loaded;(1253, 383);1253
4254;完結;1481;light-verb -suru attached;かんけつ;conclusion;(199, 1451);1451
4255;寄席;1480;general noun;よせ;entertainment hall;(204, 1277);1277
4256;対等;1480;adjectival noun, na-adjective;たいとう;equality;(1862, 1016);1862
4257;用途;1480;general noun;ようと;use;(1265, 1790);1790
4258;回帰;1479;light-verb -suru attached;かいき;return;(630, 1316);1316
4259;弾劾;1479;light-verb -suru attached;だんがい;impeachment;(2081, 1642);2081
4260;有人;1479;general noun;ゆうじん;manned;(83, 1023);1023
4261;税額;1477;general noun;ぜいがく;amount of tax;(961, 316);961
4262;歌声;1476;general noun;うたごえ;singing voice;(508, 2044);2044
4263;薬品;1476;general noun;やくひん;medicine;(1873, 23);1873
4264;火力;1475;general noun;かりょく;heating power;(173, 922);922
4265;宿題;1474;light-verb -suru attached;しゅくだい;homework;(1070, 415);1070
4266;小幅;1473;adjectival noun, na-adjective;こはば;small;(110, 435);435
4267;会費;1472;general noun;かいひ;membership fee;(814, 1326);1326
4268;襲名;1470;light-verb -suru attached;しゅうめい;succession to another's professional name;(2181, 117);2181
4269;定評;1469;general noun;ていひょう;established opinion;(408, 1599);1599
4270;特産;1469;general noun;とくさん;specialty;(261, 1681);1681
4271;待望;1468;light-verb -suru attached;たいぼう;expectant waiting;(944, 528);944
4272;退社;1467;light-verb -suru attached;たいしゃ;resignation;(1575, 1173);1575
4273;車体;1466;general noun;しゃたい;body;(304, 1030);1030
4274;土日;1466;general noun;どにち;weekend;(161, 12);161
4275;識別;1464;light-verb -suru attached;しきべつ;discrimination;(521, 94);521
4276;独創;1463;light-verb -suru attached;どくそう;originality;(561, 1759);1759
4277;胎児;1462;general noun;たいじ;fetus;(810, 62);810
4278;服役;1462;light-verb -suru attached;ふくえき;penal servitude;(1501, 949);1501
4279;窒息;1461;light-verb -suru attached;ちっそく;suffocation;(1418, 657);1418
4280;焼酎;1459;general noun;しょうちゅう;shochu;(1284, 1537);1537
4281;兼任;1455;light-verb -suru attached;けんにん;concurrent post;(1723, 1078);1723
4282;再考;1454;light-verb -suru attached;さいこう;reconsideration;(1956, 1341);1956
4283;多用;1454;light-verb -suru attached;たよう;busyness;(113, 1265);1265
4284;内陸;1454;general noun;ないりく;inland;(1095, 1631);1631
4285;安価;1453;adjectival noun, na-adjective;あんか;low price;(202, 1729);1729
4286;帰属;1453;light-verb -suru attached;きぞく;belonging to;(1316, 2103);2103
4287;硬式;1453;general noun;こうしき;hardball;(750, 377);750
4288;凶悪;1452;adjectival noun, na-adjective;きょうあく;atrocious;(1603, 1951);1951
4289;素顔;1452;general noun;すがお;face with no make-up;(1652, 1853);1853
4290;転身;1452;light-verb -suru attached;てんしん;turnover;(449, 1337);1337
4291;戯曲;1451;general noun;ぎきょく;play;(2149, 1256);2149
4292;精査;1449;light-verb -suru attached;せいさ;close investigation;(1655, 1920);1920
4293;中絶;1448;light-verb -suru attached;ちゅうぜつ;abortion;(39, 1891);1891
4294;中傷;1447;light-verb -suru attached;ちゅうしょう;slander;(39, 1071);1071
4295;力量;1447;general noun;りきりょう;ability;(922, 189);922
4296;買春;1445;light-verb -suru attached;ばいしゅん;buying sex;(894, 1690);1690
4297;装着;1444;light-verb -suru attached;そうちゃく;equipping;(425, 594);594
4298;各派;1443;general noun;かくは;each party;(311, 1999);1999
4299;艦船;1443;general noun;かんせん;vessels;(2020, 2019);2020
4300;党派;1443;general noun;とうは;faction;(860, 1999);1999
4301;冊子;1441;general noun;さっし;book;(1967, 99);1967
4302;進撃;1440;light-verb -suru attached;しんげき;advance;(603, 766);766
4303;運搬;1439;light-verb -suru attached;うんぱん;transport;(325, 2018);2018
4304;部署;1439;general noun;ぶしょ;one's post;(1988, 1349);1988
4305;相対;1438;general noun;そうたい;relativity;(222, 1862);1862
4306;野外;1438;general noun;やがい;outdoors;(1722, 116);1722
4307;育英;1437;light-verb -suru attached;いくえい;education;(821, 1878);1878
4308;戸数;1437;general noun;こすう;number of households;(1157, 998);1157
4309;指令;1436;light-verb -suru attached;しれい;orders;(711, 1503);1503
4310;憂慮;1436;light-verb -suru attached;ゆうりょ;anxiety;(663, 2151);2151
4311;補充;1435;light-verb -suru attached;ほじゅう;supplementation;(1983, 823);1983
4312;結審;1434;light-verb -suru attached;けっしん;conclusion of trial;(1451, 2059);2059
4313;常時;1434;possible to use as an adverb;じょうじ;usually;(862, 171);862
4314;初段;1433;general noun;しょだん;lowest grade;(431, 2003);2003
4315;園芸;1432;general noun;えんげい;horticulture;(629, 450);629
4316;初頭;1432;possible to use as an adverb;しょとう;beginning;(431, 1549);1549
4317;熱帯;1432;general noun;ねったい;tropics;(1634, 444);1634
4318;便宜;1432;general noun;べんぎ;convenience;(1066, 1922);1922
4319;旅客;1430;general noun;りょかく;passenger;(1127, 315);1127
4320;遺言;1429;light-verb -suru attached;ゆいごん;will;(1909, 357);1909
4321;大蔵;1429;general noun;おおくら;Ministry of Finance;(112, 913);913
4322;北上;1429;light-verb -suru attached;ほくじょう;going north;(480, 50);480
4323;幕末;1429;general noun;ばくまつ;closing days of the Tokugawa shogunate;(437, 231);437
4324;添加;1428;light-verb -suru attached;てんか;addition;(684, 932);932
4325;井戸;1427;general noun;いど;water well;(1946, 1157);1946
4326;検疫;1427;light-verb -suru attached;けんえき;quarantine;(1803, 1824);1824
4327;明快;1427;adjectival noun, na-adjective;めいかい;clarion;(20, 1771);1771
4328;差額;1426;general noun;さがく;balance;(593, 316);593
4329;出世;1426;light-verb -suru attached;しゅっせ;success in life;(829, 28);829
4330;普遍;1426;general noun;ふへん;universal;(1925, 1965);1965
4331;没後;1426;possible to use as an adverb;ぼつご;after death;(763, 1479);1479
4332;果敢;1425;adjectival noun, na-adjective;かかん;resolute;(1202, 889);1202
4333;紙幣;1424;general noun;しへい;paper money;(1971, 1118);1971
4334;定番;1424;general noun;ていばん;standard;(408, 2058);2058
4335;巡視;1423;light-verb -suru attached;じゅんし;inspection tour;(303, 1174);1174
4336;公用;1422;general noun;こうよう;government business;(847, 1265);1265
4337;受精;1422;light-verb -suru attached;じゅせい;fertilization;(794, 1655);1655
4338;下町;1421;general noun;したまち;low-lying part of a city;(51, 96);96
4339;試写;1420;light-verb -suru attached;ししゃ;preview;(378, 1336);1336
4340;全文;1418;general noun;ぜんぶん;whole passage;(281, 1861);1861
4341;主砲;1417;general noun;しゅほう;main battery;(284, 571);571
4342;投機;1417;general noun;とうき;speculation;(762, 1482);1482
4343;抵触;1416;light-verb -suru attached;ていしょく;collision;(1974, 1954);1974
4344;原資;1415;general noun;げんし;capital;(142, 512);512
4345;申込;1415;general noun;もうしこみ;application;(1198, 843);1198
4346;艦長;1414;general noun;かんちょう;captain;(2020, 2070);2070
4347;共闘;1414;light-verb -suru attached;きょうとう;joint struggle;(1934, 1757);1934
4348;軍部;1414;general noun;ぐんぶ;military authorities;(323, 1988);1988
4349;堤防;1414;general noun;ていぼう;bank;(416, 1399);1399
4350;薬剤;1414;general noun;やくざい;medicine;(1873, 1867);1873
4351;功労;1413;general noun;こうろう;meritorious deed;(927, 924);927
4352;社債;1413;general noun;しゃさい;corporate bond;(1173, 1664);1664
4353;繁華;1413;general noun;はんか;bustle;(1435, 1704);1704
4354;連想;1413;light-verb -suru attached;れんそう;association;(305, 656);656
4355;穀物;1412;general noun;こくもつ;grain;(984, 1129);1129
4356;報徳;1411;general noun;ほうとく;moral requital;(1625, 950);1625
4357;大根;1410;general noun;だいこん;daikon;(112, 1571);1571
4358;長考;1410;light-verb -suru attached;ちょうこう;lengthy consideration;(2070, 1341);2070
4359;長身;1410;general noun;ちょうしん;tall figure;(2070, 1337);2070
4360;様式;1410;general noun;ようしき;style;(1003, 377);1003
4361;演芸;1409;general noun;えんげい;entertainment;(2163, 450);2163
4362;軟禁;1409;light-verb -suru attached;なんきん;lenient confinement or house arrest;(509, 1179);1179
4363;手記;1408;light-verb -suru attached;しゅき;note;(687, 568);687
4364;躍起;1408;general noun;やっき;desperation;(1379, 565);1379
4365;余震;1408;general noun;よしん;aftershock;(1786, 2166);2166
4366;兵力;1407;general noun;へいりょく;military force;(1429, 922);1429
4367;優良;1407;general noun;ゆうりょう;superior;(1068, 1578);1578
4368;用具;1407;general noun;ようぐ;tools;(1265, 78);1265
4369;考案;1406;light-verb -suru attached;こうあん;plan;(1341, 227);1341
4370;商標;1406;general noun;しょうひょう;trademark;(471, 1734);1734
4371;相違;1406;light-verb -suru attached;そうい;difference;(222, 1773);1773
4372;訪韓;1406;light-verb -suru attached;ほうかん;visit to Korea;(534, 1776);1776
4373;遭難;1405;light-verb -suru attached;そうなん;disaster;(1258, 1703);1703
4374;転嫁;1403;light-verb -suru attached;てんか;imputation;(449, 581);581
4375;日誌;1403;general noun;にっし;journal;(12, 646);646
4376;樹木;1401;general noun;じゅもく;trees and shrubs;(1554, 207);1554
4377;系統;1400;general noun;けいとう;system;(1492, 1447);1492
4378;他者;1400;general noun;たしゃ;another person;(1034, 1345);1345
4379;奪還;1400;light-verb -suru attached;だっかん;recovery;(608, 900);900
4380;炭鉱;1400;general noun;たんこう;coal mine;(833, 802);833
4381;本塁;1400;general noun;ほんるい;base;(224, 1871);1871
4382;細部;1399;general noun;さいぶ;details;(1463, 1988);1988
4383;本日;1399;possible to use as an adverb;ほんじつ;today;(224, 12);224
4384;民生;1399;general noun;みんせい;consumer;(1976, 1675);1976
4385;前頭;1398;general noun;まえがしら;rank-and-file wrestlers in the highest division;(309, 1549);1549
4386;続発;1398;light-verb -suru attached;ぞくはつ;coming about;(1445, 1840);1840
4387;顕彰;1397;light-verb -suru attached;けんしょう;honouring;(1928, 1851);1928
4388;右端;1396;general noun;みぎはし;right end;(82, 1251);1251
4389;簡素;1396;adjectival noun, na-adjective;かんそ;simplicity;(1749, 1652);1749
4390;壊滅;1395;light-verb -suru attached;かいめつ;destruction;(427, 390);427
4391;水質;1395;general noun;すいしつ;water quality;(137, 1219);1219
4392;無念;1395;general noun;むねん;chagrin;(1913, 1715);1913
4393;何者;1394;general noun;なにもの;who;(1087, 1345);1345
4394;花束;1394;general noun;はなたば;bunch of flowers;(1084, 1793);1793
4395;拒絶;1394;light-verb -suru attached;きょぜつ;refusal;(921, 1891);1891
4396;心中;1393;light-verb -suru attached;しんじゅう;double suicide;(639, 39);639
4397;親友;1393;general noun;しんゆう;close friend;(1621, 760);1621
4398;僧侶;1392;general noun;そうりょ;priest;(1057, 1025);1057
4399;校内;1391;general noun;こうない;within a school;(1371, 1095);1371
4400;今期;1391;general noun;こんき;the present term;(1711, 1902);1902
4401;改装;1389;light-verb -suru attached;かいそう;remodelling;(567, 425);567
4402;女房;1389;general noun;にょうぼう;wife;(102, 1159);1159
4403;多大;1389;adjectival noun, na-adjective;ただい;heavy;(113, 112);113
4404;領海;1389;general noun;りょうかい;territorial waters;(1507, 500);1507
4405;左上;1388;general noun;ひだりうえ;left-upper;(81, 50);81
4406;弁明;1388;light-verb -suru attached;べんめい;explanation;(803, 20);803
4407;切実;1386;adjectival noun, na-adjective;せつじつ;compelling;(89, 1694);1694
4408;陪審;1386;general noun;ばいしん;jury;(1396, 2059);2059
4409;密接;1386;adjectival noun, na-adjective;みっせつ;related;(837, 725);837
4410;誠意;1385;general noun;せいい;sincerity;(388, 654);654
4411;調節;1385;light-verb -suru attached;ちょうせつ;regulation;(373, 1574);1574
4412;文理;1385;general noun;ぶんり;literature and science;(1861, 283);1861
4413;減量;1384;light-verb -suru attached;げんりょう;loss in quantity;(391, 189);391
4414;習得;1384;light-verb -suru attached;しゅうとく;learning;(616, 941);941
4415;宣誓;1384;light-verb -suru attached;せんせい;oath;(200, 1214);1214
4416;食欲;1383;general noun;しょくよく;appetite;(1582, 855);1582
4417;精子;1383;general noun;せいし;sperm;(1655, 99);1655
4418;増設;1383;light-verb -suru attached;ぞうせつ;extension;(541, 765);765
4419;縄文;1383;general noun;じょうもん;Jomon period;(1477, 1861);1861
4420;無名;1383;general noun;むめい;unsigned;(1913, 117);1913
4421;産科;1382;general noun;さんか;obstetrics;(1681, 1263);1681
4422;個室;1381;general noun;こしつ;private room;(1047, 816);1047
4423;皇族;1380;general noun;こうぞく;imperial family;(279, 1307);1307
4424;貸出;1380;general noun;かしだし;lending;(1082, 829);1082
4425;照会;1379;light-verb -suru attached;しょうかい;inquiry;(182, 814);814
4426;新橋;1379;general noun;しんばし;Shinbashi;(1619, 460);1619
4427;浸水;1379;light-verb -suru attached;しんすい;inundation;(1232, 137);1232
4428;大将;1379;general noun;たいしょう;general;(112, 789);789
4429;漁獲;1378;light-verb -suru attached;ぎょかく;fishing;(184, 757);757
4430;定時;1378;general noun;ていじ;regular time;(408, 171);408
4431;特異;1378;adjectival noun, na-adjective;とくい;unique;(261, 1936);1936
4432;余計;1378;adjectival noun, na-adjective;よけい;too many;(1786, 359);1786
4433;最期;1376;possible to use as an adverb;さいご;one's last moment;(884, 1902);1902
4434;住職;1376;general noun;じゅうしょく;chief priest;(1027, 887);1027
4435;同乗;1376;light-verb -suru attached;どうじょう;riding together;(192, 1709);1709
4436;衣類;1375;general noun;いるい;clothes;(423, 1000);1000
4437;密室;1375;general noun;みっしつ;room that cannot be entered;(837, 816);837
4438;体格;1374;general noun;たいかく;physique;(1030, 312);1030
4439;通路;1374;general noun;つうろ;passage;(1511, 1376);1511
4440;日光;1374;general noun;にっこう;sunlight;(12, 125);125
4441;禁輸;1373;general noun;きんゆ;embargo;(1179, 307);1179
4442;骨粉;1373;general noun;こっぷん;bone meal;(1383, 988);1383
4443;償還;1373;light-verb -suru attached;しょうかん;repayment;(1060, 900);1060
4444;傑作;1372;general noun;けっさく;masterpiece;(1074, 1224);1224
4445;併用;1371;light-verb -suru attached;へいよう;using together;(1107, 1265);1265
4446;予知;1371;light-verb -suru attached;よち;foresight;(1719, 1308);1719
4447;筋力;1370;general noun;きんりょく;physical strength;(1012, 922);1012
4448;斜面;1370;general noun;しゃめん;slope;(1791, 2039);2039
4449;当該;1370;general noun;とうがい;appropriate;(1236, 1640);1640
4450;打倒;1369;light-verb -suru attached;だとう;knockdown;(705, 1055);1055
4451;発給;1369;light-verb -suru attached;はっきゅう;issuance;(1840, 1449);1840
4452;別々;1369;adjectival noun, na-adjective;べつ々;separately;(94, 9999);9999
4453;銀河;1368;general noun;ぎんが;Milky Way;(1569, 157);1569
4454;匹敵;1367;light-verb -suru attached;ひってき;comparing with;(1830, 475);1830
4455;漫才;1367;general noun;まんざい;two-person comedy act;(893, 736);893
4456;推理;1366;light-verb -suru attached;すいり;reasoning;(716, 283);716
4457;病床;1365;general noun;びょうしょう;sickbed;(1813, 636);1813
4458;上辺;1363;general noun;うわべ;seeming;(50, 302);302
4459;要項;1363;general noun;ようこう;important points;(1730, 86);1730
4460;異変;1361;general noun;いへん;unusual phenomenon;(1936, 1882);1936
4461;賞味;1361;light-verb -suru attached;しょうみ;relish;(859, 233);859
4462;沈静;1361;light-verb -suru attached;ちんせい;stillness;(2033, 1660);2033
4463;奮起;1360;light-verb -suru attached;ふんき;stirring;(607, 565);607
4464;抑圧;1360;light-verb -suru attached;よくあつ;check;(1835, 163);1835
4465;軍機;1359;general noun;ぐんき;military secret;(323, 1482);1482
4466;周期;1359;general noun;しゅうき;cycle;(339, 1902);1902
4467;特権;1359;general noun;とっけん;privilege;(261, 613);613
4468;突出;1359;light-verb -suru attached;とっしゅつ;projection;(1416, 829);1416
4469;裏側;1358;general noun;うらがわ;the reverse;(426, 1049);1049
4470;視力;1357;general noun;しりょく;eyesight;(1174, 922);1174
4471;探知;1357;light-verb -suru attached;たんち;detection;(1425, 1308);1425
4472;富裕;1357;adjectival noun, na-adjective;ふゆう;wealth;(205, 856);856
4473;戦績;1356;general noun;せんせき;war or military record;(2079, 1662);2079
4474;漁協;1355;general noun;ぎょきょう;fishery cooperative;(184, 937);937
4475;送電;1355;light-verb -suru attached;そうでん;electric supply;(2172, 574);2172
4476;補完;1355;light-verb -suru attached;ほかん;complementation;(1983, 199);1983
4477;過疎;1354;general noun;かそ;depopulation;(1389, 1797);1797
4478;道警;1354;general noun;どうけい;Hokkaido Prefectural Police;(295, 358);358
4479;生殖;1353;light-verb -suru attached;せいしょく;reproduction;(1675, 874);1675
4480;防護;1353;light-verb -suru attached;ぼうご;protection;(1399, 756);1399
4481;山林;1352;general noun;さんりん;mountain forest;(830, 208);830
4482;樹脂;1352;general noun;じゅし;resin;(1554, 494);1554
4483;固有;1351;general noun;こゆう;characteristic;(622, 83);622
4484;論告;1351;light-verb -suru attached;ろんこく;prosecutor's closing argument;(1961, 262);1961
4485;工房;1350;general noun;こうぼう;workshop;(80, 1159);1159
4486;芸人;1349;general noun;げいにん;player;(450, 1023);1023
4487;条文;1349;general noun;じょうぶん;text;(319, 1861);1861
4488;領有;1349;light-verb -suru attached;りょうゆう;possession;(1507, 83);1507
4489;鉱山;1348;general noun;こうざん;mine;(802, 830);830
4490;登記;1348;light-verb -suru attached;とうき;registry;(1838, 568);1838
4491;獣医;1347;general noun;じゅうい;veterinarian;(2083, 1829);2083
4492;小麦;1347;general noun;こむぎ;wheat;(110, 1653);1653
4493;照合;1347;light-verb -suru attached;しょうごう;collation;(182, 269);269
4494;惜敗;1347;light-verb -suru attached;せきはい;regrettable defeat;(1271, 353);1271
4495;名刺;1347;general noun;めいし;business card;(117, 446);446
4496;眼鏡;1346;general noun;めがね;spectacles;(1577, 522);1577
4497;言明;1346;light-verb -suru attached;げんめい;declaration;(357, 20);357
4498;交戦;1346;light-verb -suru attached;こうせん;war;(1368, 2079);2079
4499;堅実;1345;adjectival noun, na-adjective;けんじつ;steady;(917, 1694);1694
4500;後者;1343;general noun;こうしゃ;the latter;(1479, 1345);1479
4501;有望;1340;adjectival noun, na-adjective;ゆうぼう;good prospects;(83, 528);528
4502;来夏;1340;possible to use as an adverb;らいか;next summer;(2029, 317);2029
4503;温存;1339;light-verb -suru attached;おんぞん;preserve;(1560, 739);1560
4504;潜伏;1339;light-verb -suru attached;せんぷく;concealment;(907, 1035);1035
4505;忠実;1339;adjectival noun, na-adjective;ちゅうじつ;faithful;(648, 1694);1694
4506;三男;1338;general noun;さんなん;three sons;(3, 923);923
4507;賞状;1338;general noun;しょうじょう;honorable certificate;(859, 254);859
4508;扶養;1338;light-verb -suru attached;ふよう;support;(902, 1591);1591
4509;洋服;1337;general noun;ようふく;Western-style clothes;(588, 1501);1501
4510;外壁;1336;general noun;がいへき;outer wall;(116, 1616);1616
