id;Comp. Word;Frequency;Grammatical Feature;Pronunciation;English Translation;heisig_numbers;max_heisig_numbers
18020;雑文;24;general noun;ざつぶん;literary miscellany;(604, 1861);1861
18021;三絃;24;general noun;さんげん;three-stringed instrument;(3, 9999);9999
18022;仕官;24;light-verb -suru attached;しかん;government service;(1033, 1363);1363
18023;刺身;24;general noun;さしみ;sashimi;(446, 1337);1337
18024;子爵;24;general noun;ししゃく;viscount;(99, 1573);1573
18025;試演;24;light-verb -suru attached;しえん;trial performance;(378, 2163);2163
18026;事績;24;general noun;じせき;achievement;(1240, 1662);1662
18027;事大;24;general noun;じだい;subserviency to the stronger;(1240, 112);1240
18028;時制;24;general noun;じせい;tense;(171, 447);447
18029;自愛;24;light-verb -suru attached;じあい;taking care of oneself;(36, 796);796
18030;実直;24;general noun;じっちょく;honest;(1694, 77);1694
18031;実包;24;general noun;じっぽう;ball cartridge;(1694, 569);1694
18032;若鮎;24;general noun;わかあゆ;sweetfish;(237, 9999);9999
18033;終曲;24;general noun;しゅうきょく;finale;(1452, 1256);1452
18034;充填;24;light-verb -suru attached;じゅうてん;fill;(823, 166);823
18035;縦穴;24;general noun;たてあな;pit;(1436, 1413);1436
18036;春雷;24;general noun;しゅんらい;spring thunder;(1690, 454);1690
18037;松虫;24;general noun;まつむし;pine cricket;(848, 556);848
18038;伸張;24;light-verb -suru attached;しんちょう;expansion;(1199, 2071);2071
18039;真赤;24;adjectival noun, na-adjective;まっか;bright red;(79, 1880);1880
18040;神酒;24;general noun;みき;sacred wine or sake;(1200, 1535);1535
18041;進物;24;general noun;しんもつ;gift;(603, 1129);1129
18042;随伴;24;light-verb -suru attached;ずいはん;attendance;(1395, 1287);1395
18043;晴雨;24;general noun;せいう;weather;(1658, 451);1658
18044;青草;24;general noun;あおくさ;green grass;(1654, 238);1654
18045;静謐;24;adjectival noun, na-adjective;せいひつ;peacefulness;(1660, 9999);9999
18046;切削;24;light-verb -suru attached;せっさく;cutting;(89, 124);124
18047;先夜;24;possible to use as an adverb;せんや;few nights ago;(263, 1115);1115
18048;川筋;24;general noun;かわすじ;course of a river;(134, 1012);1012
18049;祖師;24;general noun;そし;founder of a sect;(1918, 1361);1918
18050;粗塩;24;general noun;あらしお;sea salt;(1915, 1568);1915
18051;僧衣;24;general noun;そうい;priest's garb;(1057, 423);1057
18052;僧籍;24;general noun;そうせき;priesthood;(1057, 1689);1689
18053;蒼生;24;general noun;そうせい;the masses;(9999, 1675);9999
18054;造幣;24;general noun;ぞうへい;coinage;(299, 1118);1118
18055;造本;24;general noun;ぞうほん;bookbinding or bookmaking;(299, 224);299
18056;多色;24;general noun;たしょく;many colors;(113, 1890);1890
18057;耐乏;24;light-verb -suru attached;たいぼう;austerity;(1248, 1300);1300
18058;退蔵;24;light-verb -suru attached;たいぞう;hoarding;(1575, 913);1575
18059;代作;24;light-verb -suru attached;だいさく;ghost-writing;(1080, 1224);1224
18060;只今;24;general noun;ただいま;Here I am;(55, 1711);1711
18061;炭田;24;general noun;たんでん;coalfield;(833, 14);833
18062;男色;24;general noun;なんしょく;sodomy;(923, 1890);1890
18063;知略;24;general noun;ちりゃく;ingenuity;(1308, 314);1308
18064;地声;24;general noun;じごえ;one's natural voice;(554, 2044);2044
18065;着帯;24;light-verb -suru attached;ちゃくたい;wearing a maternity belt;(594, 444);594
18066;虫垂;24;general noun;ちゅうすい;appendix;(556, 1705);1705
18067;長足;24;general noun;ちょうそく;rapid progress;(2070, 1372);2070
18068;椎茸;24;general noun;しいたけ;shiitake mushroom;(597, 9999);9999
18069;通暁;24;light-verb -suru attached;つうぎょう;well versed;(1511, 1285);1511
18070;鉄材;24;general noun;てつざい;iron material;(909, 738);909
18071;賭場;24;general noun;とば;gambling den;(1354, 584);1354
18072;統轄;24;light-verb -suru attached;とうかつ;unification;(1447, 1672);1672
18073;統監;24;light-verb -suru attached;とうかん;supervision;(1447, 1562);1562
18074;統御;24;light-verb -suru attached;とうぎょ;control;(1447, 1500);1500
18075;突飛;24;adjectival noun, na-adjective;とっぴ;erratic;(1416, 2032);2032
18076;屯田;24;general noun;とんでん;colonization;(2189, 14);2189
18077;内陣;24;general noun;ないじん;inner temple;(1095, 1402);1402
18078;日蝕;24;general noun;にっしょく;solar eclipse;(12, 9999);9999
18079;俳画;24;general noun;はいが;briefly drawn picture;(1761, 1254);1761
18080;博学;24;adjectival noun, na-adjective;はくがく;erudition;(48, 346);346
18081;八丁;24;general noun;はっちょう;skillfulness;(8, 95);95
18082;反面;24;possible to use as an adverb;はんめん;on the other hand;(779, 2039);2039
18083;品番;24;general noun;ひんばん;item's stock number;(23, 2058);2058
18084;不倫;24;adjectival noun, na-adjective;ふりん;adultery;(1302, 1962);1962
18085;福耳;24;general noun;ふくみみ;, said to bring good fortune;(1171, 881);1171
18086;兵営;24;general noun;へいえい;barracks;(1429, 1111);1429
18087;平場;24;general noun;ひらば;flat ground;(1596, 584);1596
18088;米食;24;general noun;べいしょく;rice-based or centered diet;(987, 1582);1582
18089;片耳;24;general noun;かたみみ;one ear;(1297, 881);1297
18090;報恩;24;general noun;ほうおん;repaying a kindness;(1625, 652);1625
18091;砲術;24;general noun;ほうじゅつ;gunnery;(571, 1644);1644
18092;芳醇;24;adjectival noun, na-adjective;ほうじゅん;mellow;(532, 9999);9999
18093;豊穣;24;adjectival noun, na-adjective;ほうじょう;good harvest;(1551, 9999);9999
18094;豊饒;24;adjectival noun, na-adjective;ほうじょう;fertility;(1551, 9999);9999
18095;棒鋼;24;general noun;ぼうこう;steel rod;(1697, 2113);2113
18096;妙齢;24;general noun;みょうれい;young;(130, 1505);1505
18097;冥途;24;general noun;めいど;Hades;(322, 1790);1790
18098;名利;24;general noun;みょうり;fame and fortune;(117, 972);972
18099;明主;24;general noun;めいしゅ;wise ruler;(20, 284);284
18100;明朝;24;general noun;みょうちょう;Ming Dynasty;(20, 53);53
18101;綿々;24;general noun;めん々;unbroken;(1467, 9999);9999
18102;門閥;24;general noun;もんばつ;lineage;(1743, 1746);1746
18103;由縁;24;general noun;ゆえん;acquaintance;(1186, 1472);1472
18104;乱売;24;light-verb -suru attached;らんばい;underselling;(76, 345);345
18105;吏員;24;general noun;りいん;official;(748, 59);748
18106;例年;24;possible to use as an adverb;れいねん;year;(1046, 1114);1114
18107;冷血;24;adjectival noun, na-adjective;れいけつ;cold-bloodedness;(1506, 1556);1556
18108;霊泉;24;general noun;れいせん;miraculous spring or fountain;(1930, 140);1930
18109;恋慕;24;light-verb -suru attached;れんぼ;love;(1885, 683);1885
18110;蓮根;24;general noun;れんこん;lotus root;(9999, 1571);9999
18111;和国;24;general noun;わこく;Yamato;(963, 624);963
18112;和布;24;general noun;わかめ;wakame;(963, 433);963
18113;脇息;24;general noun;きょうそく;armrest;(935, 657);935
18114;匈奴;24;general noun;きょうど;Xiongnu;(9999, 758);9999
18115;娑婆;24;general noun;しゃば;this world;(9999, 867);9999
18116;宦官;24;general noun;かんがん;eunuch;(9999, 1363);9999
18117;憮然;24;general noun;ぶぜん;discouraged;(9999, 256);9999
18118;桎梏;24;general noun;しっこく;bonds;(9999, 9999);9999
18119;威儀;23;general noun;いぎ;dignity;(389, 1059);1059
18120;一献;23;general noun;いっこん;one cup;(1, 1742);1742
18121;一軒;23;general noun;いちけん;one house;(1, 1781);1781
18122;一寸;23;general noun;いっすん;one sun;(1, 45);45
18123;一難;23;general noun;いちなん;one difficulty;(1, 1703);1703
18124;隠棲;23;light-verb -suru attached;いんせい;secluded life;(1410, 9999);9999
18125;雨滴;23;general noun;うてき;raindrops;(451, 474);474
18126;塩蔵;23;light-verb -suru attached;えんぞう;preserving in salt;(1568, 913);1568
18127;王城;23;general noun;おうじょう;royal castle;(271, 387);387
18128;歌道;23;general noun;かどう;versification;(508, 295);508
18129;火宅;23;general noun;かたく;this world of suffering;(173, 2065);2065
18130;改訳;23;light-verb -suru attached;かいやく;retranslation;(567, 1154);1154
18131;灰汁;23;general noun;あく;lye;(180, 150);180
18132;外耳;23;general noun;がいじ;external ear;(116, 881);881
18133;各面;23;general noun;かくめん;all phases;(311, 2039);2039
18134;釜飯;23;general noun;かまめし;rice, meat and vegetable dish served in a small pot;(1367, 1583);1583
18135;官学;23;general noun;かんがく;government school;(1363, 346);1363
18136;官選;23;general noun;かんせん;government-appointed;(1363, 1944);1944
18137;管状;23;general noun;かんじょう;tubular;(1365, 254);1365
18138;観照;23;light-verb -suru attached;かんしょう;meditation;(614, 182);614
18139;嬉々;23;general noun;きき;merry;(9999, 9999);9999
18140;期首;23;general noun;きしゅ;beginning of a term;(1902, 74);1902
18141;気弱;23;general noun;きよわ;timid;(2030, 1323);2030
18142;義侠;23;general noun;ぎきょう;chivalry;(691, 9999);9999
18143;吉例;23;general noun;きちれい;festive annual custom;(342, 1046);1046
18144;魚油;23;general noun;ぎょゆ;fish oil;(183, 1188);1188
18145;禁書;23;general noun;きんしょ;prohibited book or literature;(1179, 349);1179
18146;銀器;23;general noun;ぎんき;silver utensils;(1569, 127);1569
18147;計略;23;general noun;けいりゃく;plan;(359, 314);359
18148;迎賓;23;general noun;げいひん;welcoming honored guests;(1837, 550);1837
18149;劇界;23;general noun;げきかい;the stage;(2152, 266);2152
18150;血盟;23;general noun;けつめい;blood pledge;(1556, 1558);1558
18151;検便;23;light-verb -suru attached;けんべん;examination;(1803, 1066);1803
18152;後衛;23;general noun;こうえい;rear guard;(1479, 1775);1775
18153;校医;23;general noun;こうい;school doctor;(1371, 1829);1829
18154;硬骨;23;adjectival noun, na-adjective;こうこつ;bone;(750, 1383);1383
18155;紅型;23;general noun;びんがた;method of dyeing, developed in Okinawa, in which a single stencil is used to produce richly polychromatic designs;(1455, 735);1455
18156;国運;23;general noun;こくうん;national fortunes or destiny;(624, 325);624
18157;国花;23;general noun;こっか;national flower;(624, 1084);1084
18158;国本;23;general noun;こくほん;foundation of the nation;(624, 224);624
18159;黒子;23;general noun;くろこ;stage assistant dressed in black;(186, 99);186
18160;祭主;23;general noun;さいしゅ;priest;(1183, 284);1183
18161;三猿;23;general noun;さんえん;three wise monkeys;(3, 430);430
18162;三宝;23;general noun;さんぽう;three treasures of Buddhism: Buddha, sutras and priesthood;(3, 273);273
18163;三流;23;general noun;さんりゅう;third-rate;(3, 826);826
18164;士道;23;general noun;しどう;chivalry;(341, 295);341
18165;子安;23;general noun;こやす;safe, easy childbirth;(99, 202);202
18166;紙背;23;general noun;しはい;reverse side of a paper;(1971, 481);1971
18167;自署;23;light-verb -suru attached;じしょ;autograph;(36, 1349);1349
18168;舎弟;23;general noun;しゃてい;my younger brother;(338, 1328);1328
18169;射精;23;light-verb -suru attached;しゃせい;ejaculation;(1338, 1655);1655
18170;射的;23;general noun;しゃてき;target practice;(1338, 73);1338
18171;主峰;23;general noun;しゅほう;the highest peak;(284, 1683);1683
18172;手鍋;23;general noun;てなべ;pan;(687, 1388);1388
18173;酒家;23;general noun;しゅか;wine shop;(1535, 580);1535
18174;宗廟;23;general noun;そうびょう;ancestral shrine;(1181, 9999);9999
18175;重陽;23;general noun;ちょうよう;;(1805, 1397);1805
18176;俊才;23;general noun;しゅんさい;prodigy;(1089, 736);1089
